repo,test_id,framework,line,name,raw_code,ui_action_category,locator_present,raw_framework_api,normalized_strategy,locator_composition,robustness_signal,evidence_basis,selector_literal_kind,selector_channel,selector_value_origin,locator_strategy_inferred,locator_evidence_basis,locator_composition_evidence_basis,manual_locator_strategy_ok,manual_locator_strategy_should_be,manual_locator_composition_ok,manual_locator_composition_should_be,manual_selector_literal_kind_ok,manual_selector_literal_kind_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
surveyjs/survey-library,179b8e397490bf86d046d1fa4f3bf718,Playwright,368,page.getByText,page.getByText(employeesTitle),locator_query,True,page.getByText,text_content,unknown,readable_text_signal,regex_fallback,text,text,variable,text_content,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByText(employeesTitle),false,,,
ionic-team/ionic-framework,4e10a86c86d3aed50923198e2ea61987,Playwright,20,page.locator,page.locator('.popover-viewport'),locator_query,True,page.locator,framework_selector_object,standalone_locator_query,implementation_coupled_signal,regex_fallback,class,class,inline_literal,framework_selector_object,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.locator('.popover-viewport'),false,,,
codex-team/editor.js,5a3856912755655d5bc752221605371e,Cypress,175,cy.get,cy.get('[data-cy=editorjs]'),locator_query,True,cy.get,test_id_or_data_contract,standalone_locator_query,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get('[data-cy=editorjs]'),false,,,
chaskiq/chaskiq,36200392b1a8e80fb016cbd7c0c42b5b,Cypress,176,"cy.wrap($body)
                  .xpath(
                    '/html/body/main/div/div/div/main/div/div/div[2]/div/div/textarea'
                  )
                  .type","cy.wrap($body)
                  .xpath(
                    '/html/body/main/div/div/div/main/div/div/div[2]/div/div/textarea'
                  )
                  .type('oeoe \n')",text_input,True,cy.wrap,xpath_selector,direct_chain,positional_or_structural_signal,regex_fallback,xpath,xpath,variable,xpath_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.wrap($body)
                  .xpath(
                    '/html/body/main/div/div/div/main/div/div/div[2]/div/div/textarea'
                  )
                  .type('oeoe \n')",false,,,
surveyjs/survey-library,8c3afa13c3a42a47f132ed89a8d04907,Playwright,754,"tagbox1.locator("".sv-list"").evaluate.scroll","tagbox1.locator("".sv-list"").evaluate((el) => { el.scrollTop = 1000; })",scroll,True,tagbox1,framework_selector_object,unknown,implementation_coupled_signal,regex_fallback,class,class,inline_literal,framework_selector_object,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"tagbox1.locator("".sv-list"").evaluate((el) => { el.scrollTop = 1000; })",false,,,
refactoringhq/tolaria,f9ca956c9868c5e90df13e51b24b5414,Playwright,66,page.getByRole,"page.getByRole('heading', { name: updatedTitle, level: 1 })",locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole('heading', { name: updatedTitle, level: 1 })",false,,,
openobserve/openobserve,c0c3ab1dd48f3f087b21ceae1df60c44,Playwright,391,page.getByLabel,"page.getByLabel(variableName, { exact: true })",locator_query,True,page.getByLabel,label_or_form_affordance,unknown,user_facing_accessibility_signal,regex_fallback,label,label,variable,label_or_form_affordance,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByLabel(variableName, { exact: true })",false,,,
ONEARMY/community-platform,2c00a1a12ed0607baec93e7969d51922,Cypress,114,cy.get('[data-cy=info-about').clear().type,cy.get('[data-cy=info-about').clear().type(description),text_input,True,cy.get,test_id_or_data_contract,direct_chain,stable_test_contract_signal,ast_call_chain,test_id,test_id,inline_literal,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get('[data-cy=info-about').clear().type(description),false,,,
apache/superset,d7f43a645419afab33c989b4dafec959,Cypress,571,"cy.get(""div#TABS-TOP div[role='tab']"").contains","cy.get(""div#TABS-TOP div[role='tab']"").contains(tabName)",locator_query,True,cy.get,text_content,direct_chain,readable_text_signal,ast_call_chain,text,text,identifier,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(""div#TABS-TOP div[role='tab']"").contains(tabName)",false,,,
pingcap/autoflow,93143a93ff23b256b2d8dd7349075834,Playwright,47,"page.getByRole('textbox', { name: 'Sitemap URL' }).fill","page.getByRole('textbox', { name: 'Sitemap URL' }).fill('http://static-web-server/example-sitemap.xml')",text_input,True,page.getByRole,role_or_accessibility,direct_chain,user_facing_accessibility_signal,ast_call_chain,role,role,inline_literal,role_or_accessibility,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole('textbox', { name: 'Sitemap URL' }).fill('http://static-web-server/example-sitemap.xml')",false,,,
plasmicapp/plasmic,296e9f6653730a36351f7d38802109c7,Cypress,186,"cy.get(""[data-test-frame-uid]"")
          .its(""0.contentDocument.body"")
          .should(""not.be.empty"")
          .then(cy.wrap)
          .find("".__wab_editor"")
          .wait(1000)
       ","cy.get(""[data-test-frame-uid]"")
          .its(""0.contentDocument.body"")
          .should(""not.be.empty"")
          .then(cy.wrap)
          .find("".__wab_editor"")
          .wait(1000)
          .dblclick({ force: true })
          .find('[contenteditable=""true""]')",locator_query,True,cy.get,css_selector,unknown,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,css_selector,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(""[data-test-frame-uid]"")
          .its(""0.contentDocument.body"")
          .should(""not.be.empty"")
          .then(cy.wrap)
          .find("".__wab_editor"")
          .wait(1000)
          .dblclick({ force: true })
          .find('[contenteditable=""true""]')",false,,,
cloudtogo/pageplug,bfe40f8cfbe0838069feb2a4b9af215f,Cypress,148,cy.xpath,cy.xpath(widgetsPage.rightAlign),click,True,cy.xpath,xpath_selector,positional_refinement,positional_or_structural_signal,ast_call_chain,xpath,xpath,member_path,xpath_selector,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.xpath(widgetsPage.rightAlign),false,,,
deltachat/deltachat-desktop,6120069122cc927e32eb953f0b97d66e,Playwright,69,page.getByLabel,page.getByLabel('Chats'),locator_query,True,page.getByLabel,label_or_form_affordance,unknown,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByLabel('Chats'),false,,,
appsmithorg/appsmith,63a42b31e5b9ac0335e0508c8bc4524c,Cypress,721,cy.get,cy.get(this.locator._multiSelectOptions($each)),locator_query,True,cy.get,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,computed,page_object_mediated,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(this.locator._multiSelectOptions($each)),false,,,
creativetimofficial/ui,85c119f089a225ca8760de2a6b02b727,Playwright,33,page.getByLabel(/name/i).fill,page.getByLabel(/name/i).fill(name),text_input,True,page.getByLabel,label_or_form_affordance,direct_chain,user_facing_accessibility_signal,ast_call_chain,label,label,computed,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByLabel(/name/i).fill(name),false,,,
surveyjs/survey-library,ef48bdd57af028614b5ca28299bc3108,Playwright,519,"tagbox1.locator("".sv-list"").evaluate.scroll","tagbox1.locator("".sv-list"").evaluate((el) => { el.scrollTop = 1000; })",scroll,True,tagbox1,framework_selector_object,unknown,implementation_coupled_signal,regex_fallback,class,class,inline_literal,framework_selector_object,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"tagbox1.locator("".sv-list"").evaluate((el) => { el.scrollTop = 1000; })",false,,,
linode/manager,0f55624de7113f97460d0a0af845d33f,Cypress,179,"ui.autocompletePopper
      .findByTitle(dashboardName)
      .should('be.visible')
      .click","ui.autocompletePopper
      .findByTitle(dashboardName)
      .should('be.visible')
      .click()",click,True,findByTitle,placeholder_or_alt_title,direct_chain,user_facing_accessibility_signal,ast_call_chain,title,title,identifier,placeholder_or_alt_title,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.autocompletePopper
      .findByTitle(dashboardName)
      .should('be.visible')
      .click()",false,,,
linode/manager,7779a14229566aac3068816bb435bcf1,Cypress,1390,cy.findByLabelText('Cluster Label').should('be.visible').click,cy.findByLabelText('Cluster Label').should('be.visible').click(),click,True,cy.findByLabelText,label_or_form_affordance,direct_chain,user_facing_accessibility_signal,ast_call_chain,label,label,inline_literal,label_or_form_affordance,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByLabelText('Cluster Label').should('be.visible').click(),false,,,
appsmithorg/appsmith,1c8120f06ee90be00a5a667b3bb099b5,Cypress,959,cy.get,cy.get(welcomePage.firstName),locator_query,True,cy.get,css_selector,direct_chain,implementation_coupled_signal,ast_call_chain,unknown,unknown,member_path,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.firstName),false,,,
ONEARMY/community-platform,5ad7b1061294e77c6ed8bf96361b2adb,Cypress,47,"cy.get('[data-cy=""TextNotification: failure""]').contains","cy.get('[data-cy=""TextNotification: failure""]').contains(FRIENDLY_MESSAGES['generic-error'])",locator_query,True,cy.get,test_id_or_data_contract,standalone_locator_query,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get('[data-cy=""TextNotification: failure""]').contains(FRIENDLY_MESSAGES['generic-error'])",false,,,
CopilotKit/CopilotKit,23e5e05eb524d0103ce4994ef6214dcc,Playwright,37,page.locator,"page.locator('[data-role=""assistant""]')",locator_query,True,page.locator,framework_selector_object,standalone_locator_query,stable_test_contract_signal,regex_fallback,data_attribute,data_attribute,inline_literal,framework_selector_object,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.locator('[data-role=""assistant""]')",false,,,
webiny/webiny-js,5ff6c42e61e2d825968109bc8e77f3a2,Cypress,14,cy.findByLabelText,"cy.findByLabelText(""First Name"")",locator_query,True,cy.findByLabelText,label_or_form_affordance,direct_chain,user_facing_accessibility_signal,ast_call_chain,label,label,inline_literal,label_or_form_affordance,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByLabelText(""First Name"")",false,,,
cloudtogo/pageplug,c52d469eb6f173f7108ba7ee0e6d0954,Cypress,262,"cy
              .xpath(""//div[contains(@class, ' t--widget-textwidget')][2]"", {
                timeout: 50000,
              })
              .eq(0)
              .contains","cy
              .xpath(""//div[contains(@class, ' t--widget-textwidget')][2]"", {
                timeout: 50000,
              })
              .eq(0)
              .contains(""CreditLimit:"", { timeout: 30000 })",locator_query,True,"cy
              .xpath",xpath_selector,positional_refinement,positional_or_structural_signal,regex_fallback,xpath,xpath,inline_literal,xpath_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy
              .xpath(""//div[contains(@class, ' t--widget-textwidget')][2]"", {
                timeout: 50000,
              })
              .eq(0)
              .contains(""CreditLimit:"", { timeout: 30000 })",false,,,
ValueCell-ai/ClawX,833b38663214e86d559a593fe593466d,Playwright,135,page.getByTestId,page.getByTestId('dreams-page'),locator_query,True,page.getByTestId,test_id_or_data_contract,unknown,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByTestId('dreams-page'),false,,,
cloudtogo/pageplug,b7a82a2c85b55d4b850f391d7fa83bd4,Cypress,925,cy.get,cy.get(welcomePage.password),locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,member_path,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.password),false,,,
spartan-ng/spartan,fe5c37a90e44a6d1f7a1a39e3a6daa09,Cypress,73,cy.findByRole,"cy.findByRole('heading', { name: /delete account/i })",locator_query,True,cy.findByRole,role_or_accessibility,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByRole('heading', { name: /delete account/i })",false,,,
ohcnetwork/care_fe,425274289220c1083b567f09b739b086,Playwright,74,page.getByPlaceholder,"page.getByPlaceholder(""Notes"")",locator_query,True,page.getByPlaceholder,placeholder_or_alt_title,positional_refinement,user_facing_accessibility_signal,ast_call_chain,placeholder,placeholder,inline_literal,placeholder_or_alt_title,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByPlaceholder(""Notes"")",false,,,
dyad-sh/dyad,fd1f36366fe568c573c65b3f5fadc780,Playwright,79,"thirdRow.getByTitle(""Move up"").click","thirdRow.getByTitle(""Move up"").click()",click,True,getByTitle,placeholder_or_alt_title,direct_chain,user_facing_accessibility_signal,ast_call_chain,title,title,inline_literal,placeholder_or_alt_title,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"thirdRow.getByTitle(""Move up"").click()",false,,,
cypress-io/cypress-realworld-app,1e9f3bc90fb13b258366177e4b072d57,Cypress,190,cy.getBySelLike(feed.tab).click,cy.getBySelLike(feed.tab).click(),click,True,cy.getBySelLike,unknown,parameterized_locator,opaque_or_unresolved_signal,unresolved,variable,variable,member_path,unknown,unresolved,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.getBySelLike(feed.tab).click(),false,,,
linode/manager,def02e8a241231a060cd10f147c8c93d,Cypress,86,"ui.dialog
      .findByTitle","ui.dialog
      .findByTitle(`Delete Placement Group ${mockPlacementGroup.label}?`)",locator_query,True,findByTitle,placeholder_or_alt_title,parameterized_locator,user_facing_accessibility_signal,regex_fallback,title,title,inline_literal,placeholder_or_alt_title,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.dialog
      .findByTitle(`Delete Placement Group ${mockPlacementGroup.label}?`)",false,,,
appsmithorg/appsmith,dc0698918788ff1374357e711754814a,Cypress,404,cy.xpath,"cy.xpath(""//div[@id='root']//section/parent::div"")",unknown_action,True,cy.xpath,xpath_selector,unknown,positional_or_structural_signal,regex_fallback,xpath,xpath,inline_literal,xpath_selector,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.xpath(""//div[@id='root']//section/parent::div"")",false,,,
linode/manager,4f41afafeaab810d2ae7e1dfdc6b250a,Cypress,265,"ui.drawer
      .findByTitle","ui.drawer
      .findByTitle(`Permissions for ${mockAccessKey.label}`)",locator_query,True,findByTitle,placeholder_or_alt_title,parameterized_locator,user_facing_accessibility_signal,regex_fallback,title,title,inline_literal,placeholder_or_alt_title,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.drawer
      .findByTitle(`Permissions for ${mockAccessKey.label}`)",false,,,
element-hq/element-web,efd38073df4f698f009791abd1b2b3eb,Playwright,194,"page.getByRole(""menuitem"", { name: ""Edit section"" }).click","page.getByRole(""menuitem"", { name: ""Edit section"" }).click()",click,True,page.getByRole,role_or_accessibility,direct_chain,user_facing_accessibility_signal,ast_call_chain,role,role,inline_literal,role_or_accessibility,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole(""menuitem"", { name: ""Edit section"" }).click()",false,,,
team-mirai/marumie,b1fc6c27e0278fd3a16f862706c1c073,Playwright,6,"page.getByLabel(""Email"").fill","page.getByLabel(""Email"").fill(""foo@example.com"")",text_input,True,page.getByLabel,label_or_form_affordance,direct_chain,user_facing_accessibility_signal,ast_call_chain,label,label,inline_literal,label_or_form_affordance,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByLabel(""Email"").fill(""foo@example.com"")",false,,,
linode/manager,0ecad5c77a887a18a6274e2485ea3a7a,Cypress,107,cy.contains,cy.contains('SHUTTING DOWN'),locator_query,True,cy.contains,text_content,unknown,readable_text_signal,regex_fallback,text,text,inline_literal,text_content,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.contains('SHUTTING DOWN'),false,,,
ionic-team/ionic-framework,16c5717461d55de229d0986ec02f471f,Playwright,11,page.locator,page.locator('#disable-button'),locator_query,True,page.locator,css_selector,direct_chain,implementation_coupled_signal,ast_call_chain,id,id,inline_literal,framework_selector_object,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.locator('#disable-button'),false,,,
CopilotKit/CopilotKit,abaf6224b9ff4d57fcdca4199a440063,Playwright,105,page.getByPlaceholder,"page.getByPlaceholder(""Type a message..."")",locator_query,True,page.getByPlaceholder,placeholder_or_alt_title,unknown,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByPlaceholder(""Type a message..."")",false,,,
ONEARMY/community-platform,ba8fb26cfd0397115868a218790d6214,Cypress,37,cy.get,cy.get('[data-cy=field-title]'),locator_query,True,cy.get,test_id_or_data_contract,standalone_locator_query,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get('[data-cy=field-title]'),false,,,
spartan-ng/spartan,79bc22304935bea77bb2688fdf27d28c,Cypress,86,cy.findByLabelText,cy.findByLabelText('v16.0.0'),locator_query,True,cy.findByLabelText,label_or_form_affordance,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByLabelText('v16.0.0'),false,,,
appsmithorg/appsmith,af60fbded60ecef1553016278c84f1a5,Cypress,62,cy.xpath,"cy.xpath(""//span[text()='title']"")",unknown_action,True,cy.xpath,xpath_selector,unknown,positional_or_structural_signal,regex_fallback,xpath,xpath,inline_literal,xpath_selector,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.xpath(""//span[text()='title']"")",false,,,
linode/manager,3b0630ee6a7ff8ca1385acc4c891ebcb,Cypress,152,"ui.drawer
      .findByTitle","ui.drawer
      .findByTitle(`Manage Replicas for ${image.label}`)",locator_query,True,findByTitle,placeholder_or_alt_title,parameterized_locator,user_facing_accessibility_signal,regex_fallback,title,title,inline_literal,placeholder_or_alt_title,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.drawer
      .findByTitle(`Manage Replicas for ${image.label}`)",false,,,
CopilotKit/CopilotKit,2c744027178e7542807c1b6529b0f0d6,Playwright,21,page.getByPlaceholder,"page.getByPlaceholder(""Type a message"")",locator_query,True,page.getByPlaceholder,placeholder_or_alt_title,unknown,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByPlaceholder(""Type a message"")",false,,,
appsmithorg/appsmith,e4747a8eeb7bfcffa197c21e0ee7946b,Cypress,952,cy.get,cy.get(welcomePage.firstName),locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,member_path,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.firstName),false,,,
opensearch-project/OpenSearch-Dashboards,5ded69b3cb31371f7f2b3c2ac69964ea,Cypress,102,"cy.get('[data-test-subj=""visualizeEditorRenderButton""]').click","cy.get('[data-test-subj=""visualizeEditorRenderButton""]').click()",click,True,cy.get,test_id_or_data_contract,direct_chain,stable_test_contract_signal,ast_call_chain,test_id,test_id,inline_literal,css_selector,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get('[data-test-subj=""visualizeEditorRenderButton""]').click()",false,,,
appsmithorg/appsmith,335b9e7901bff79390f2504698ebe8f3,Cypress,1644,$ele.find,$ele.find(this.locator._specificToast(error)),locator_query,True,$ele,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,computed,page_object_mediated,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,$ele.find(this.locator._specificToast(error)),false,,,
cloudtogo/pageplug,100bfa924c22dd21d049440746aaf6de,Cypress,936,cy.get,cy.get(welcomePage.continueButton),locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,member_path,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.continueButton),false,,,
jupyterlab/jupyterlab,8e7dc5e3a4e85fca3d54f9ad616686c3,Playwright,823,page.getByRole,page.getByRole('main'),locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByRole('main'),false,,,
linode/manager,805e23751ac317bf31fe6e42c43cbeb9,Cypress,78,"ui.button
      .findByTitle","ui.button
      .findByTitle('Create Access Key')",locator_query,True,findByTitle,placeholder_or_alt_title,direct_chain,user_facing_accessibility_signal,ast_call_chain,title,title,inline_literal,placeholder_or_alt_title,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.button
      .findByTitle('Create Access Key')",false,,,
linode/manager,e1ac2fea3c614b043083f1c7d87148e1,Cypress,308,"ui.drawer
      .findByTitle","ui.drawer
      .findByTitle(`Tags (${mockCluster.label})`)",locator_query,True,findByTitle,placeholder_or_alt_title,parameterized_locator,user_facing_accessibility_signal,regex_fallback,title,title,inline_literal,placeholder_or_alt_title,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.drawer
      .findByTitle(`Tags (${mockCluster.label})`)",false,,,
appsmithorg/appsmith,e1d1b49e2bb2001a5e2e5aeb64e8de40,Cypress,66,"cy.xpath(""//input[@class='bp3-input']"")
        .eq(0)
        .type","cy.xpath(""//input[@class='bp3-input']"")
        .eq(0)
        .type(""test@appsmith.com"")",text_input,True,cy.xpath,xpath_selector,positional_refinement,positional_or_structural_signal,regex_fallback,xpath,xpath,inline_literal,xpath_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.xpath(""//input[@class='bp3-input']"")
        .eq(0)
        .type(""test@appsmith.com"")",false,,,
appsmithorg/appsmith,5425b795f5654fbefa52c5d9e8ee5712,Cypress,93,cy.xpath,"cy.xpath(""//img/parent::div"")",unknown_action,True,cy.xpath,xpath_selector,unknown,positional_or_structural_signal,regex_fallback,xpath,xpath,inline_literal,xpath_selector,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.xpath(""//img/parent::div"")",false,,,
sanity-io/sanity,6841ca1a775872d8fb85d786441fd7be,Playwright,115,page.getByTestId,page.getByTestId('tree-editing-dialog'),locator_query,True,page.getByTestId,test_id_or_data_contract,unknown,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByTestId('tree-editing-dialog'),false,,,
cloudtogo/pageplug,7a9a17f109815c5f23bfb43645b4cdff,Cypress,926,cy.get,cy.get(welcomePage.verifyPassword),locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,member_path,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(welcomePage.verifyPassword),false,,,
midas-research/audino,a2e5da3ca8dc757c61e9a16f9276b436,Cypress,1001,cy.get,cy.get('.cvat-change-task-label-color-badge'),locator_query,True,cy.get,css_selector,direct_chain,implementation_coupled_signal,ast_call_chain,class,class,inline_literal,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get('.cvat-change-task-label-color-badge'),false,,,
